Geographic Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
".Plumas County, California","13,434","13,635","13,851","14,134","14,395","14,697","15,065","15,296","15,461","15,532","15,574","15,605","15,642","15,666","15,698","15,734","15,767","15,818","15,870","15,916",15944
".Riverside County, California","588,488","605,084","625,450","649,730","681,618","714,686","750,829","776,659","790,064","796,844","801,698","806,137","809,342","813,435","819,390","826,172","832,169","839,357","847,661","857,148",859850
".Sacramento County, California","476,695","484,023","492,803","506,842","522,749","534,429","544,385","550,026","553,378","555,693","556,128","557,203","558,443","559,945","561,853","563,611","566,342","569,623","574,375","578,937",580865
".San Benito County, California","16,617","17,127","17,441","17,566","17,649","17,747","17,854","17,862","17,868","17,860","17,879","17,923","17,948","17,979","18,116","18,215","18,422","18,871","19,436","19,979",20084
".San Bernardino County, California","602,918","609,501","618,334","628,572","640,584","658,704","675,259","688,069","695,367","698,183","700,135","701,727","703,077","704,913","708,284","711,634","715,166","719,171","725,898","731,400",728299
".San Diego County, California","1,044,144","1,060,146","1,075,986","1,090,165","1,108,796","1,125,143","1,140,067","1,149,468","1,157,000","1,162,450","1,165,429","1,168,642","1,173,855","1,179,403","1,187,506","1,194,252","1,203,503","1,213,992","1,224,237","1,233,777",1232928
".San Francisco County, California","347,258","350,534","353,178","358,870","360,957","363,667","366,894","369,960","373,123","376,159","377,012","377,789","379,821","383,113","387,526","390,124","393,507","397,476","401,412","406,413",405241
".San Joaquin County, California","190,509","195,905","200,292","206,444","213,539","220,356","226,270","229,893","232,303","233,142","233,927","234,646","235,515","236,448","237,422","238,530","240,826","242,746","245,482","248,636",250918
".San Luis Obispo County, California","102,684","104,200","105,976","107,798","109,910","112,226","114,369","115,865","116,840","117,226","117,401","117,836","118,111","118,512","119,276","120,242","121,031","121,880","122,959","123,963",124014
".San Mateo County, California","261,100","263,233","264,529","265,931","267,118","268,151","268,732","269,521","270,116","270,850","271,127","271,253","271,893","272,698","273,518","274,827","276,278","278,055","279,453","280,450",281131
".Santa Barbara County, California","143,164","144,550","145,887","147,801","149,181","150,576","151,506","152,178","152,659","152,831","152,900","153,289","153,522","153,977","154,387","155,142","156,150","157,006","158,304","159,246",161754
".Santa Clara County, California","581,072","587,852","593,986","598,670","605,913","611,603","617,462","623,545","627,669","631,107","632,140","635,950","638,714","643,833","651,024","660,436","665,631","671,004","678,442","686,266",677305
".Santa Cruz County, California","98,986","99,456","99,978","100,510","101,512","102,268","103,066","103,648","104,325","104,482","104,494","104,602","104,769","104,975","105,247","105,528","105,831","106,311","106,725","107,149",106249
".Shasta County, California","69,020","69,883","70,800","72,023","73,292","74,271","75,729","76,501","76,997","77,295","77,350","77,531","77,617","77,761","77,907","78,096","78,469","78,840","79,192","78,618",78280
".Sierra County, California","2,197","2,214","2,224","2,240","2,262","2,281","2,294","2,309","2,320","2,326","2,328","2,333","2,338","2,342","2,343","2,347","2,347","2,356","2,361","2,368",2353
".Siskiyou County, California","21,983","22,145","22,291","22,473","22,779","23,141","23,590","23,756","23,854","23,906","23,925","23,978","24,028","24,080","24,035","23,983","24,061","24,138","24,208","24,226",24267
".Solano County, California","135,034","137,197","139,688","142,085","144,667","147,570","149,852","150,957","151,866","152,332","152,839","153,297","153,677","154,210","154,980","155,621","156,966","157,905","158,818","159,806",161002
".Sonoma County, California","183,846","186,590","189,421","191,620","194,184","196,459","199,583","201,702","203,314","204,103","204,656","205,068","205,637","206,148","207,146","207,769","208,324","209,209","205,114","208,305",206444
".Stanislaus County, California","151,433","154,556","157,813","161,237","165,190","169,253","173,921","176,641","178,579","179,154","179,578","179,793","179,861","180,054","180,317","180,698","181,055","181,586","182,276","182,978",183550
".Sutter County, California","28,383","28,614","29,043","29,699","30,670","31,950","33,205","33,533","33,771","33,841","33,880","33,949","34,007","34,044","34,102","34,182","34,337","34,412","34,484","34,583",34567
".Tehama County, California","23,610","23,832","24,021","24,315","24,760","25,505","26,203","26,693","26,891","26,983","26,990","27,064","27,114","27,180","27,258","27,342","27,427","27,529","27,681","27,840",27708
".Trinity County, California","7,986","8,044","8,116","8,184","8,274","8,389","8,490","8,571","8,628","8,656","8,689","8,729","8,753","8,764","8,786","8,824","8,854","8,888","8,955","9,013",8974
".Tulare County, California","120,048","121,679","123,454","125,448","127,749","130,319","133,630","137,057","139,591","140,955","141,945","143,199","144,016","144,606","145,467","146,465","147,688","148,935","150,162","151,603",152855
".Tuolumne County, California","28,424","28,734","29,020","29,422","29,826","30,280","30,709","30,950","31,104","31,206","31,255","31,292","31,308","31,332","31,370","31,431","31,478","31,523","31,613","31,700",31712
".Ventura County, California","252,796","257,075","260,877","263,779","267,659","270,687","275,596","278,150","280,033","281,209","281,778","282,361","282,942","283,532","284,558","285,870","287,180","288,792","291,006","291,512",291563
".Yolo County, California","61,911","63,196","64,583","66,081","67,935","70,242","72,045","73,373","74,358","74,756","75,133","75,374","75,616","75,904","76,705","76,927","77,251","77,920","78,496","79,263",79875
".Yuba County, California","22,640","22,614","22,710","22,937","23,414","24,977","26,460","27,221","27,739","27,700","27,656","27,713","27,779","27,856","28,001","28,199","28,401","28,582","28,667","29,049",29330
